"effect_size","alpha","power","alpha_label"
0,0.01,0.01,"α = 0.01"
0.01,0.01,0.0169697738374607,"α = 0.01"
0.02,0.01,0.0418852761729548,"α = 0.01"
0.03,0.01,0.0949687641580312,"α = 0.01"
0.04,0.01,0.186883124054855,"α = 0.01"
0.05,0.01,0.319963084163817,"α = 0.01"
0.06,0.01,0.481606972604403,"α = 0.01"
0.07,0.01,0.646379747763025,"α = 0.01"
0.08,0.01,0.787344436346665,"α = 0.01"
0.09,0.01,0.888558252217049,"α = 0.01"
0.1,0.01,0.949551494948456,"α = 0.01"
0.11,0.01,0.980400979027754,"α = 0.01"
0.12,0.01,0.993497454176503,"α = 0.01"
0.13,0.01,0.998164282979225,"α = 0.01"
0.14,0.01,0.999560251414859,"α = 0.01"
0.15,0.01,0.999910798210488,"α = 0.01"
0,0.05,0.0500000000000001,"α = 0.05"
0.01,0.05,0.0705999403053315,"α = 0.05"
0.02,0.05,0.134584636451944,"α = 0.05"
0.03,0.05,0.24413469334395,"α = 0.05"
0.04,0.05,0.392407153177862,"α = 0.05"
0.05,0.05,0.558966524892723,"α = 0.05"
0.06,0.05,0.715655235413382,"α = 0.05"
0.07,0.05,0.839313872863592,"α = 0.05"
0.08,0.05,0.921213685997137,"α = 0.05"
0.09,0.05,0.966738864110734,"α = 0.05"
0.1,0.05,0.987978649505216,"α = 0.05"
0.11,0.05,0.996296240774217,"α = 0.05"
0.12,0.05,0.999030357059135,"α = 0.05"
0.13,0.05,0.999784816726752,"α = 0.05"
0.14,0.05,0.999959595037007,"α = 0.05"
0.15,0.05,0.999993589626606,"α = 0.05"
0,0.1,0.1,"α = 0.1"
0.01,0.1,0.130015139830142,"α = 0.1"
0.02,0.1,0.217823357127602,"α = 0.1"
0.03,0.1,0.353820765539949,"α = 0.1"
0.04,0.1,0.517098782957896,"α = 0.1"
0.05,0.1,0.678574631000509,"α = 0.1"
0.06,0.1,0.811975738269686,"α = 0.1"
0.07,0.1,0.904360938679941,"α = 0.1"
0.08,0.1,0.95804294964153,"α = 0.1"
0.09,0.1,0.984221701128002,"α = 0.1"
0.1,0.1,0.994937012371416,"α = 0.1"
0.11,0.1,0.998618507929486,"α = 0.1"
0.12,0.1,0.999680290046595,"α = 0.1"
0.13,0.1,0.99993737109441,"α = 0.1"
0.14,0.1,0.999989630592173,"α = 0.1"
0.15,0.1,0.99999855056522,"α = 0.1"
