Outcome,Tipo,Grupo_Evento,ATT,Erro Padrao,IC Inferior,IC Superior,p-valor,Signif
Valor Producao Cana (log),Efeito Global,ATT Medio,0.5015,0.2286,-0.0366,1.0395,0.0283,**
Valor Producao Cana (log),Efeito por Coorte,Coorte 2004,1.0218,0.5955,-0.3799,2.4234,0.0862,*
Valor Producao Cana (log),Efeito por Coorte,Coorte 2006,0.7654,0.4675,-0.335,1.8658,0.1016,
Valor Producao Cana (log),Efeito por Coorte,Coorte 2007,0.1463,0.4331,-0.8732,1.1658,0.7356,
Valor Producao Cana (log),Efeito por Coorte,Coorte 2008,0.5559,0.332,-0.2254,1.3373,0.094,*
Valor Producao Cana (log),Efeito por Coorte,Coorte 2010,0.4733,0.2337,-0.0768,1.0233,0.0429,**
Valor Producao Cana (log),Efeito por Coorte,Coorte 2015,-0.0104,0.0761,-0.1896,0.1688,0.8916,
Valor Producao Cana (log),Efeito por Coorte,Coorte 2016,0.1015,0.2402,-0.4639,0.6669,0.6727,
Valor Producao Cana (log),Efeito por Coorte,Coorte 2017,-0.005,0.2896,-0.6867,0.6766,0.9861,
Valor Producao Cana (log),Efeito Dinamico,t-5,-0.1081,0.0921,-0.3596,0.1434,0.2405,
Valor Producao Cana (log),Efeito Dinamico,t-3,0.0343,0.0495,-0.1009,0.1695,0.4889,
Valor Producao Cana (log),Efeito Dinamico,t-1,0.0577,0.0875,-0.1813,0.2966,0.5101,
Valor Producao Cana (log),Efeito Dinamico,t+0,0.0963,0.1352,-0.2729,0.4654,0.4766,
Valor Producao Cana (log),Efeito Dinamico,t+1,0.1242,0.1421,-0.2636,0.512,0.382,
Valor Producao Cana (log),Efeito Dinamico,t+2,0.1485,0.2052,-0.4116,0.7086,0.4692,
Valor Producao Cana (log),Efeito Dinamico,t+3,0.2547,0.2268,-0.3644,0.8739,0.2614,
Valor Producao Cana (log),Efeito Dinamico,t+5,0.531,0.2303,-0.0976,1.1596,0.0211,**
Valor Producao Cana (log),Efeito Dinamico,t+10,0.8571,0.3231,-0.025,1.7392,0.008,***
Area Plantada Cana (log),Efeito Global,ATT Medio,0.2644,0.1119,-0.004,0.5328,0.0182,**
Area Plantada Cana (log),Efeito por Coorte,Coorte 2004,0.3428,0.6026,-1.1021,1.7878,0.5694,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2006,0.3805,0.2045,-0.1099,0.8709,0.0628,*
Area Plantada Cana (log),Efeito por Coorte,Coorte 2007,0.1605,0.1662,-0.2382,0.5591,0.3344,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2008,0.2908,0.194,-0.1743,0.756,0.1338,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2010,-0.0397,0.1109,-0.3055,0.2262,0.7205,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2015,-0.0394,0.0285,-0.1077,0.029,0.167,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2016,0.0832,0.0586,-0.0573,0.2237,0.1555,
Area Plantada Cana (log),Efeito por Coorte,Coorte 2017,0.0528,0.089,-0.1607,0.2664,0.553,
Area Plantada Cana (log),Efeito Dinamico,t-5,0.0522,0.0224,-0.0097,0.114,0.02,**
Area Plantada Cana (log),Efeito Dinamico,t-3,-0.0058,0.0303,-0.0895,0.0779,0.8474,
Area Plantada Cana (log),Efeito Dinamico,t-1,0.0242,0.0265,-0.0489,0.0974,0.3608,
Area Plantada Cana (log),Efeito Dinamico,t+0,0.0273,0.0224,-0.0346,0.0892,0.2236,
Area Plantada Cana (log),Efeito Dinamico,t+1,0.113,0.0512,-0.0283,0.2544,0.0273,**
Area Plantada Cana (log),Efeito Dinamico,t+2,0.1165,0.0774,-0.0971,0.3301,0.1324,
Area Plantada Cana (log),Efeito Dinamico,t+3,0.0953,0.0895,-0.1518,0.3424,0.2872,
Area Plantada Cana (log),Efeito Dinamico,t+5,0.0914,0.1436,-0.3049,0.4877,0.5246,
Area Plantada Cana (log),Efeito Dinamico,t+10,0.4939,0.1526,0.0728,0.9149,0.0012,***
